Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
10,Exit long,2026-05-21 02:15,HSL,29460.75,3,176238,523.38,0.30,3.12,539.94,0.31,-75.06,-0.04,2455.42,0.25,1
10,Entry long,2026-05-21 02:10,L,29373,3,176238,523.38,0.30,3.12,539.94,0.31,-75.06,-0.04,2455.42,0.25,1
11,Exit long,2026-05-21 11:15,HSL,29435.5,2,117385,354.92,0.30,2.08,365.96,0.31,-63.04,-0.05,2810.34,0.28,0
11,Entry long,2026-05-21 11:15,L,29346.25,2,117385,354.92,0.30,2.08,365.96,0.31,-63.04,-0.05,2810.34,0.28,0
12,Exit long,2026-05-22 02:15,HSL,29641.25,3,177658.5,185.88,0.10,3.12,202.44,0.11,-136.56,-0.08,2996.22,0.30,2
12,Entry long,2026-05-22 02:05,L,29609.75,3,177658.5,185.88,0.10,3.12,202.44,0.11,-136.56,-0.08,2996.22,0.30,2
13,Exit long,2026-05-24 17:30,HSL,29862.75,2,119278,170.92,0.14,2.08,181.96,0.15,-58.04,-0.05,3167.14,0.32,5
13,Entry long,2026-05-24 17:05,L,29819.5,2,119278,170.92,0.14,2.08,181.96,0.15,-58.04,-0.05,3167.14,0.32,5
14,Exit short,2026-05-25 17:20,HSS,29839.75,3,179190,148.38,0.08,3.12,164.94,0.09,-31.56,-0.02,3315.52,0.33,0
14,Entry short,2026-05-25 17:20,S,29865,3,179190,148.38,0.08,3.12,164.94,0.09,-31.56,-0.02,3315.52,0.33,0
15,Exit long,2026-05-26 04:25,HSL,29903.25,3,179221.5,194.88,0.11,3.12,211.44,0.12,-51.06,-0.03,3510.4,0.35,2
15,Entry long,2026-05-26 04:15,L,29870.25,3,179221.5,194.88,0.11,3.12,211.44,0.12,-51.06,-0.03,3510.4,0.35,2
16,Exit long,2026-05-26 08:20,HSL,30063,2,120121,128.92,0.11,2.08,139.96,0.12,-91.04,-0.08,3639.32,0.36,1
16,Entry long,2026-05-26 08:15,L,30030.25,2,120121,128.92,0.11,2.08,139.96,0.12,-91.04,-0.08,3639.32,0.36,1
